,일시,도,시군구,관광기후지수,관광기후등급
1082,2017-01-01 00:00,제주,서귀포시,57.3,보통
2165,2017-01-01 00:00,제주,제주시,58.59,보통
2164,2017-01-02 00:00,제주,제주시,33.21,나쁨
1081,2017-01-02 00:00,제주,서귀포시,37.95,나쁨
1080,2017-01-03 00:00,제주,서귀포시,62.72,좋음
2163,2017-01-03 00:00,제주,제주시,65.55,좋음
2162,2017-01-04 00:00,제주,제주시,55.76,보통
1079,2017-01-04 00:00,제주,서귀포시,57.3,보통
2161,2017-01-05 00:00,제주,제주시,31.61,나쁨
1078,2017-01-05 00:00,제주,서귀포시,34.75,나쁨
2160,2017-01-06 00:00,제주,제주시,39.39,나쁨
1077,2017-01-06 00:00,제주,서귀포시,39.51,나쁨
1076,2017-01-07 00:00,제주,서귀포시,32.88,나쁨
2159,2017-01-07 00:00,제주,제주시,37.56,나쁨
2158,2017-01-08 00:00,제주,제주시,28.35,나쁨
1075,2017-01-08 00:00,제주,서귀포시,34.48,나쁨
2157,2017-01-09 00:00,제주,제주시,35.14,나쁨
1074,2017-01-09 00:00,제주,서귀포시,52.68,보통
2156,2017-01-10 00:00,제주,제주시,49.81,보통
1073,2017-01-10 00:00,제주,서귀포시,54.22,보통
2155,2017-01-11 00:00,제주,제주시,46.98,보통
1072,2017-01-11 00:00,제주,서귀포시,51.39,보통
2154,2017-01-12 00:00,제주,제주시,32.04,나쁨
1071,2017-01-12 00:00,제주,서귀포시,29.17,나쁨
2153,2017-01-13 00:00,제주,제주시,48.27,보통
1070,2017-01-13 00:00,제주,서귀포시,52.68,보통
2152,2017-01-14 00:00,제주,제주시,20.06,나쁨
1069,2017-01-14 00:00,제주,서귀포시,26.57,나쁨
1068,2017-01-15 00:00,제주,서귀포시,48.52,보통
2151,2017-01-15 00:00,제주,제주시,45.44,보통
2150,2017-01-16 00:00,제주,제주시,46.98,보통
1067,2017-01-16 00:00,제주,서귀포시,48.52,보통
1066,2017-01-17 00:00,제주,서귀포시,52.89,보통
2149,2017-01-17 00:00,제주,제주시,51.35,보통
2148,2017-01-18 00:00,제주,제주시,51.35,보통
1065,2017-01-18 00:00,제주,서귀포시,51.35,보통
1064,2017-01-19 00:00,제주,서귀포시,51.35,보통
2147,2017-01-19 00:00,제주,제주시,51.35,보통
1063,2017-01-20 00:00,제주,서귀포시,17.19,나쁨
2146,2017-01-20 00:00,제주,제주시,15.38,나쁨
1062,2017-01-21 00:00,제주,서귀포시,48.52,보통
2145,2017-01-21 00:00,제주,제주시,46.98,보통
2144,2017-01-22 00:00,제주,제주시,20.06,나쁨
1061,2017-01-22 00:00,제주,서귀포시,23.47,나쁨
1060,2017-01-23 00:00,제주,서귀포시,23.74,나쁨
2143,2017-01-23 00:00,제주,제주시,20.54,나쁨
1059,2017-01-24 00:00,제주,서귀포시,48.52,보통
2142,2017-01-24 00:00,제주,제주시,46.98,보통
1058,2017-01-25 00:00,제주,서귀포시,52.93,보통
2141,2017-01-25 00:00,제주,제주시,52.93,보통
2140,2017-01-26 00:00,제주,제주시,55.76,보통
1057,2017-01-26 00:00,제주,서귀포시,57.3,보통
2139,2017-01-27 00:00,제주,제주시,25.97,나쁨
1056,2017-01-27 00:00,제주,서귀포시,30.38,나쁨
2138,2017-01-28 00:00,제주,제주시,54.43,보통
1055,2017-01-28 00:00,제주,서귀포시,55.76,보통
1054,2017-01-29 00:00,제주,서귀포시,32.88,나쁨
