,관광명소,분류,분류2,도,시군구,읍면동,리,지번,상세주,위도,경도,월,화,수,목,금,토,일
2,넥슨컴퓨터박물관,박물관,실내,제주,제주시,노형동,,86,NXC센터,33.4718030018782,126.484898778367,휴무,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00
3,이룸갤러리,미술관,실내,제주,제주시,연동,,2438-10,,33.4940218203102,126.482797840874,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,14:00 - 21:00
4,오설록 티 뮤지엄,박물관,실내,제주,서귀포시,안덕면,서광리,1235-1,오설록,33.3060904465453,126.289566185052,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00
5,제주항공우주박물관,박물관,실내,제주,서귀포시,안덕면,서광리,산39,제주항공우주박물관,33.3045413496736,126.299772285052,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00
6,아르떼뮤지엄 제주,미술관,실내,제주,제주시,애월읍,어음리,1503,,33.3975109389298,126.345700340873,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00,10:00 - 20:00
7,본태박물관,박물관,실내,제주,서귀포시,안덕면,상천리,380,,33.3039244177336,126.392514613888,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00
8,새별오름,오름,실외,제주,제주시,애월읍,봉성리,산59-8,,33.3667667507471,126.356397061536,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00,00:00 - 24:00
9,세계자동차&피아노 박물관,박물관,실내,제주,서귀포시,안덕면,상창리,2065-04,세계자동차 제주박물관,33.2834100357745,126.349793456215,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30
10,숨도,박물관,실외,제주,서귀포시,호근동,,569-2,,33.2506354102657,126.536647554363,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00
11,건강과 성 박물관,박물관,실내,제주,서귀포시,안덕면,감산리,1736,건강과 성 박물관,33.2549017903818,126.346938927379,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00
12,용머리해안,해변,실외,제주,서귀포시,안덕면,사계리,112-3,,33.2320354396813,126.314640998543,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
13,제주현대미술관,미술관,실내,제주,제주시,한경면,저지리,2114-63,,33.3399130226173,126.26572267156,휴무,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00
14,제주공룡랜드,테마파크,실외,제주,제주시,애월읍,광령리,2698,,33.4410938405672,126.434541627381,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00
