,날짜,시군구,읍면동,평균기온,일강수량,최대풍속
0,20180101,제주시,추자면,5.7,0.0,1.8
1,20180101,제주시,애월읍,-7.6,0.0,3.2
2,20180101,제주시,한림읍,3.2,0.0,3.0
3,20180101,제주시,한경면,3.2,0.0,3.0
4,20180101,제주시,구좌읍,6.2,0.0,5.2
5,20180101,제주시,삼양동,2.8,0.0,3.3
6,20180101,제주시,구좌읍,6.9,0.0,4.6
7,20180101,서귀포시,남원읍,4.2,0.0,2.6
8,20180101,서귀포시,안덕면,5.1,0.0,3.1
9,20180101,제주시,아라동,1.6,0.0,1.8
10,20180101,서귀포시,효돈동,4.2,0.0,2.6
11,20180101,서귀포시,중앙동,4.9,0.0,1.9
12,20180101,제주시,아라동,-6.4,0.0,1.0
13,20180101,제주시,연동,-2.3,0.0,1.1
14,20180101,서귀포시,남원읍,6.4,0.0,4.2
15,20180101,제주시,화북동,-1.1,0.0,3.5
16,20180101,서귀포시,효돈동,4.6,0.0,3.1
17,20180101,제주시,구좌읍,4.6,0.0,2.5
18,20180101,제주시,삼양동,4.2,0.0,3.3
19,20180101,제주시,한림읍,5.7,0.0,3.8
20,20180101,제주시,한경면,5.7,0.0,3.8
21,20180101,서귀포시,성산읍,4.8,0.0,3.1
22,20180101,서귀포시,표선면,4.8,0.0,3.1
23,20180101,서귀포시,예래동,2.6,0.0,4.1
24,20180101,제주시,조천읍,4.2,0.0,3.3
25,20180101,제주시,애월읍,1.9,0.0,5.9
26,20180101,제주시,애월읍,1.9,0.0,2.4
27,20180101,제주시,화북동,4.2,0.0,3.3
28,20180101,서귀포시,대천동,5.1,0.0,2.3
29,20180101,제주시,우도면,6.7,0.0,4.4
30,20180101,서귀포시,대정읍,5.7,0.0,3.8
31,20180101,서귀포시,남원읍,4.6,0.0,3.1
32,20180101,서귀포시,효돈동,6.4,0.0,4.2
33,20180101,제주시,노형동,-2.3,0.0,1.1
34,20180101,제주시,봉개동,0.8,0.0,2.6
35,20180101,제주시,오라동,2.9,0.0,2.4
36,20180101,제주시,용담2동,2.9,0.0,2.4
37,20180101,서귀포시,정방동,4.9,0.0,1.9
38,20180101,제주시,삼도1동,2.9,0.0,2.4
39,20180101,제주시,삼도2동,2.9,0.0,2.4
40,20180101,제주시,일도1동,2.9,0.0,2.4
41,20180101,제주시,아라동,2.9,0.0,2.4
42,20180101,서귀포시,영천동,4.9,0.0,1.9
43,20180101,서귀포시,효돈동,-5.8,0.0,3.4
44,20180101,서귀포시,남원읍,-5.8,0.0,3.4
45,20180101,제주시,용담1동,2.9,0.0,2.4
46,20180101,제주시,이도2동,2.9,0.0,2.4
47,20180101,제주시,일도2동,2.9,0.0,2.4
48,20180101,제주시,건입동,0.8,0.0,2.6
49,20180101,서귀포시,송산동,4.9,0.0,1.9
50,20180101,제주시,애월읍,-5.9,0.0,
51,20180101,제주시,이도1동,2.9,0.0,2.4
52,20180101,서귀포시,예래동,5.3,0.0,2.0
53,20180101,제주시,조천읍,2.8,0.0,3.3
54,20180101,제주시,화북동,2.8,0.0,3.3
55,20180101,제주시,삼양동,-1.1,0.0,3.5
56,20180101,제주시,조천읍,-1.1,0.0,3.5
57,20180101,서귀포시,대정읍,7.4,0.0,8.4
58,20180101,서귀포시,동홍동,4.9,0.0,1.9
59,20180101,서귀포시,서홍동,4.9,0.0,1.9
60,20180101,제주시,도두동,5.0,0.0,2.5
61,20180101,제주시,이호동,5.0,0.0,2.5
62,20180101,제주시,외도동,5.0,0.0,2.5
63,20180101,서귀포시,중문동,-2.7,0.0,3.2
64,20180101,서귀포시,대륜동,4.9,0.0,1.9
65,20180101,서귀포시,대정읍,6.8,0.0,6.9
66,20180101,서귀포시,천지동,4.9,0.0,1.9
67,20180102,서귀포시,효돈동,7.7,0.0,3.7
68,20180102,제주시,봉개동,1.0,0.0,1.5
69,20180102,제주시,한경면,4.3,0.0,2.6
70,20180102,서귀포시,대정읍,8.4,0.0,4.3
71,20180102,제주시,이도1동,3.8,0.0,2.7
72,20180102,제주시,애월읍,-2.3,0.0,2.1
73,20180102,서귀포시,남원읍,7.7,0.0,3.7
74,20180102,제주시,구좌읍,7.5,0.0,2.6
75,20180102,제주시,조천읍,5.0,0.0,1.9
76,20180102,서귀포시,중앙동,7.2,0.0,1.6
77,20180102,제주시,삼양동,5.0,0.0,1.9
78,20180102,제주시,노형동,-0.4,0.0,0.6
79,20180102,제주시,연동,-0.4,0.0,0.6
80,20180102,서귀포시,예래동,6.9,0.0,1.3
81,20180102,제주시,건입동,1.0,0.0,1.5
82,20180102,제주시,일도2동,3.8,0.0,2.7
83,20180102,제주시,용담2동,3.8,0.0,2.7
84,20180102,제주시,삼도1동,3.8,0.0,2.7
85,20180102,제주시,이도2동,3.8,0.0,2.7
86,20180102,제주시,일도1동,3.8,0.0,2.7
87,20180102,서귀포시,예래동,4.7,0.0,2.8
88,20180102,제주시,한경면,6.9,0.0,2.9
89,20180102,제주시,용담1동,3.8,0.0,2.7
90,20180102,제주시,오라동,3.8,0.0,2.7
91,20180102,제주시,아라동,3.8,0.0,2.7
92,20180102,서귀포시,중문동,0.0,0.0,1.9
93,20180102,서귀포시,대정읍,9.3,0.0,
94,20180102,제주시,외도동,6.0,0.0,2.1
95,20180102,제주시,이호동,6.0,0.0,2.1
96,20180102,제주시,한림읍,6.9,0.0,2.9
97,20180102,제주시,도두동,6.0,0.0,2.1
98,20180102,제주시,삼도2동,3.8,0.0,2.7
99,20180102,제주시,구좌읍,6.9,0.0,3.1
100,20180102,서귀포시,성산읍,5.3,0.0,2.8
101,20180102,서귀포시,대정읍,6.8,0.0,2.8
102,20180102,서귀포시,대륜동,7.2,0.0,1.6
103,20180102,제주시,아라동,2.7,0.0,1.5
104,20180102,서귀포시,효돈동,5.7,0.0,2.4
105,20180102,서귀포시,천지동,7.2,0.0,1.6
106,20180102,서귀포시,서홍동,7.2,0.0,1.6
107,20180102,제주시,우도면,8.0,0.0,3.0
108,20180102,서귀포시,표선면,5.3,0.0,2.8
109,20180102,서귀포시,남원읍,5.7,0.0,2.4
110,20180102,서귀포시,대천동,,0.0,
111,20180102,서귀포시,남원읍,-2.1,0.0,2.7
112,20180102,서귀포시,송산동,7.2,0.0,1.6
113,20180102,제주시,애월읍,3.6,0.0,3.7
114,20180102,서귀포시,정방동,7.2,0.0,1.6
115,20180102,제주시,추자면,6.8,0.0,2.2
116,20180102,서귀포시,효돈동,-2.1,0.0,2.7
117,20180102,제주시,아라동,-2.9,0.0,3.1
118,20180102,서귀포시,영천동,7.2,0.0,1.6
119,20180102,서귀포시,안덕면,6.4,0.0,2.5
