,날짜,읍면동,관광기후지수,평균기온,일강수량,최대풍속,월,요일,총방문자수,연도
0,2018-01-01,건입동,33.81,0.8,0.0,2.6,1,0,176759,2018
1,2018-01-02,건입동,57.3,1.0,0.0,1.5,1,1,154567,2018
2,2018-01-03,건입동,48.52,0.0,0.0,3.4,1,2,132826,2018
3,2018-01-04,건입동,29.42,-1.1,1.0,2.1,1,3,157389,2018
4,2018-01-05,건입동,21.54,-0.4,4.5,3.2,1,4,152996,2018
5,2018-01-06,건입동,51.35,0.5,0.0,3.0,1,5,156737,2018
6,2018-01-07,건입동,28.78,4.5,5.0,2.4,1,6,141539,2018
7,2018-01-08,건입동,28.84,4.5,7.5,3.8,1,0,142948,2018
8,2018-01-09,건입동,27.9,-1.2,2.0,6.0,1,1,140440,2018
9,2018-01-10,건입동,16.86,-3.2,8.5,6.5,1,2,143972,2018
10,2018-01-11,건입동,11.1,-5.5,13.5,4.8,1,3,131954,2018
11,2018-01-12,건입동,15.84,-4.9,6.5,3.7,1,4,131148,2018
12,2018-01-13,건입동,48.52,-1.5,0.5,2.2,1,5,148010,2018
13,2018-01-14,건입동,57.3,2.2,0.0,1.9,1,6,158951,2018
14,2018-01-15,건입동,61.46,5.2,0.0,1.9,1,0,153429,2018
15,2018-01-16,건입동,34.05,8.9,25.0,1.6,1,1,145971,2018
16,2018-01-17,건입동,30.38,4.4,7.0,2.4,1,2,162111,2018
17,2018-01-18,건입동,54.22,3.3,0.0,2.3,1,3,144290,2018
18,2018-01-19,건입동,60.17,1.6,0.0,1.9,1,4,159386,2018
19,2018-01-20,건입동,57.3,0.6,0.0,1.8,1,5,175326,2018
20,2018-01-21,건입동,55.76,2.9,0.0,1.5,1,6,177072,2018
21,2018-01-22,건입동,27.24,3.2,4.0,2.6,1,0,152117,2018
22,2018-01-23,건입동,45.44,-3.3,3.0,4.7,1,1,135771,2018
23,2018-01-24,건입동,14.3,-6.8,7.0,3.8,1,2,156482,2018
24,2018-01-25,건입동,20.64,-7.3,2.0,4.5,1,3,163933,2018
25,2018-01-26,건입동,22.08,-6.8,0.0,5.1,1,4,155454,2018
26,2018-01-27,건입동,48.73,-4.2,0.0,1.9,1,5,159977,2018
27,2018-01-28,건입동,23.14,-2.6,3.5,3.2,1,6,176573,2018
28,2018-01-29,건입동,24.8,-3.6,6.0,5.2,1,0,148012,2018
29,2018-01-30,건입동,24.68,-3.3,10.5,2.6,1,1,157461,2018
30,2018-01-31,건입동,43.88,-1.5,3.0,1.4,1,2,156749,2018
31,2018-02-01,건입동,32.52,-1.4,0.0,2.2,2,3,159507,2018
32,2018-02-02,건입동,48.52,-2.4,0.0,2.7,2,4,151776,2018
33,2018-02-03,건입동,17.13,-4.5,8.0,4.6,2,5,159956,2018
34,2018-02-04,건입동,6.48,-6.0,13.5,5.5,2,6,119212,2018
35,2018-02-05,건입동,12.64,-5.4,12.0,4.7,2,0,128775,2018
36,2018-02-06,건입동,12.7,-5.9,14.0,4.6,2,1,132130,2018
37,2018-02-07,건입동,20.27,-4.9,9.0,2.1,2,2,132522,2018
38,2018-02-08,건입동,24.62,-2.8,3.0,1.8,2,3,129873,2018
39,2018-02-09,건입동,57.3,-0.2,0.0,1.5,2,4,144051,2018
40,2018-02-10,건입동,24.37,0.5,6.0,3.3,2,5,161727,2018
41,2018-02-11,건입동,13.9,-3.0,1.5,5.6,2,6,160617,2018
42,2018-02-12,건입동,13.9,-3.2,0.0,5.9,2,0,142937,2018
43,2018-02-13,건입동,46.98,-1.2,0.0,3.4,2,1,143943,2018
44,2018-02-14,건입동,53.76,4.2,0.0,1.9,2,2,160108,2018
45,2018-02-15,건입동,35.12,2.4,0.5,1.4,2,3,169125,2018
46,2018-02-16,건입동,46.71,1.2,0.0,2.2,2,4,179949,2018
47,2018-02-17,건입동,51.39,-0.7,0.0,3.4,2,5,175811,2018
48,2018-02-18,건입동,54.43,1.6,1.0,1.6,2,6,180588,2018
49,2018-02-19,건입동,30.32,2.5,5.0,1.1,2,0,142099,2018
50,2018-02-20,건입동,55.76,2.9,0.0,1.6,2,1,150800,2018
51,2018-02-21,건입동,48.52,0.2,0.0,2.5,2,2,161471,2018
52,2018-02-22,건입동,50.06,-0.8,0.0,1.9,2,3,157512,2018
53,2018-02-23,건입동,61.46,3.2,0.0,2.0,2,4,159829,2018
54,2018-02-24,건입동,55.76,4.2,0.0,1.6,2,5,156841,2018
55,2018-02-25,건입동,55.76,4.2,0.0,1.6,2,6,176918,2018
56,2018-02-26,건입동,62.72,3.3,0.0,1.5,2,0,156552,2018
57,2018-02-27,건입동,61.46,5.8,0.0,1.7,2,1,154312,2018
58,2018-02-28,건입동,24.81,8.0,145.0,5.3,2,2,147351,2018
59,2018-03-01,건입동,52.65,1.5,0.0,5.8,3,3,154735,2018
60,2018-03-02,건입동,54.62,2.2,0.0,1.5,3,4,155127,2018
61,2018-03-03,건입동,33.66,8.7,0.0,2.7,3,5,153993,2018
62,2018-03-04,건입동,51.75,15.1,27.5,3.8,3,6,164524,2018
63,2018-03-05,건입동,24.6,7.4,8.5,2.4,3,0,119720,2018
64,2018-03-06,건입동,54.16,4.4,0.0,2.1,3,1,140845,2018
65,2018-03-07,건입동,17.8,5.4,50.5,2.9,3,2,135924,2018
66,2018-03-08,건입동,11.42,1.9,58.5,4.4,3,3,128312,2018
67,2018-03-09,건입동,53.11,0.3,0.0,2.3,3,4,127126,2018
68,2018-03-10,건입동,66.36,2.7,0.0,1.7,3,5,145932,2018
