,날짜,시군구,읍면동,성별,연령대,거주인구,근무인구,방문자수
0,20190223,제주시,봉개동,여,40대,6189,508,9968
1,20190223,서귀포시,송산동,남,10대,2904,168,1361
2,20190223,서귀포시,송산동,여,70대,2325,0,671
3,20190223,서귀포시,정방동,남,50대,3245,819,8880
4,20190223,서귀포시,중앙동,남,80대이상,589,135,1239
5,20190223,서귀포시,중앙동,여,10대,2567,410,6804
6,20190223,서귀포시,천지동,여,50대,1114,158,4382
7,20190223,서귀포시,표선면,남,60대,16205,1023,7741
8,20190223,서귀포시,효돈동,여,30대,4107,327,2492
9,20190223,서귀포시,동홍동,남,50대,33671,2090,17737
10,20190223,서귀포시,서홍동,남,40대,10380,807,8676
11,20190223,서귀포시,대륜동,남,10대,15209,323,10470
12,20190223,서귀포시,대천동,여,30대,9107,627,12662
13,20190223,서귀포시,중문동,남,60대,9706,506,7761
14,20190223,서귀포시,예래동,여,20대,5647,1605,11798
15,20190223,서귀포시,영천동,여,40대,6522,613,8069
16,20190223,서귀포시,안덕면,여,60대,15859,793,12149
17,20190223,서귀포시,대륜동,여,70대,9994,186,4971
18,20190223,서귀포시,성산읍,남,10세미만,9608,137,10001
19,20190223,서귀포시,성산읍,여,40대,17967,1030,24370
20,20190223,제주시,아라동,남,50대,53164,4145,29252
21,20190223,제주시,오라동,남,70대,8258,454,8226
22,20190223,제주시,연동,남,10세미만,41868,3255,24847
23,20190223,제주시,연동,여,20대,68738,11234,40481
24,20190223,제주시,노형동,여,60대,48741,2448,19205
25,20190223,제주시,외도동,남,10대,19152,463,7734
26,20190223,제주시,아라동,여,10세미만,54261,1097,12155
27,20190223,제주시,이호동,남,10세미만,4435,12,2622
28,20190223,제주시,이호동,여,40대,6329,641,6700
29,20190223,제주시,도두동,여,60대,1683,119,4969
30,20190223,서귀포시,대정읍,남,20대,15104,1616,11212
31,20190223,서귀포시,대정읍,여,80대이상,11728,123,2909
32,20190223,제주시,외도동,여,70대,3138,45,2944
33,20190223,서귀포시,남원읍,남,40대,27539,3336,20973
34,20190224,서귀포시,표선면,남,10대,8387,354,7582
35,20190224,서귀포시,안덕면,여,10대,26447,3003,13856
36,20190224,서귀포시,안덕면,남,80대이상,2793,174,1725
