,날짜,국가,시군구,읍면동,방문자수
0,20190818,말레이시아,서귀포시,남원읍,82
1,20190818,싱가포르,서귀포시,영천동,5
2,20190818,일본,서귀포시,영천동,881
3,20190818,인도네시아,서귀포시,영천동,7
4,20190818,홍콩,서귀포시,영천동,5
5,20190818,기타,서귀포시,영천동,488
6,20190818,중국,서귀포시,영천동,2173
7,20190818,미국,서귀포시,효돈동,2
8,20190818,싱가포르,서귀포시,효돈동,8
9,20190818,홍콩,서귀포시,효돈동,1
10,20190818,기타,서귀포시,효돈동,10
11,20190818,중국,서귀포시,효돈동,284
12,20190818,베트남,서귀포시,천지동,4
13,20190818,미국,서귀포시,천지동,36
14,20190818,싱가포르,서귀포시,천지동,23
15,20190818,말레이시아,서귀포시,천지동,48
16,20190818,일본,서귀포시,천지동,150
17,20190818,인도네시아,서귀포시,천지동,20
18,20190818,홍콩,서귀포시,천지동,19
19,20190818,기타,서귀포시,천지동,356
20,20190818,중국,서귀포시,천지동,898
21,20190818,미국,서귀포시,중앙동,95
22,20190818,태국,서귀포시,영천동,123
23,20190818,싱가포르,서귀포시,중앙동,8
24,20190818,베트남,서귀포시,영천동,16
25,20190818,기타,서귀포시,동홍동,306
26,20190818,태국,서귀포시,대륜동,55
27,20190818,싱가포르,서귀포시,대륜동,125
28,20190818,말레이시아,서귀포시,대륜동,45
29,20190818,일본,서귀포시,대륜동,677
30,20190818,홍콩,서귀포시,대륜동,34
31,20190818,기타,서귀포시,대륜동,569
32,20190818,중국,서귀포시,대륜동,2625
33,20190818,베트남,서귀포시,서홍동,91
34,20190818,태국,서귀포시,서홍동,303
35,20190818,싱가포르,서귀포시,서홍동,77
36,20190818,말레이시아,서귀포시,서홍동,113
37,20190818,일본,서귀포시,서홍동,817
38,20190818,인도네시아,서귀포시,서홍동,5
39,20190818,홍콩,서귀포시,서홍동,69
40,20190818,기타,서귀포시,서홍동,5040
41,20190818,중국,서귀포시,서홍동,9986
42,20190818,미국,서귀포시,동홍동,19
43,20190818,태국,서귀포시,동홍동,27
44,20190818,싱가포르,서귀포시,동홍동,54
45,20190818,일본,서귀포시,동홍동,118
46,20190818,홍콩,서귀포시,동홍동,19
47,20190818,중국,서귀포시,동홍동,2663
48,20190818,일본,서귀포시,중앙동,86
49,20190818,인도네시아,서귀포시,중앙동,37
50,20190818,홍콩,서귀포시,중앙동,10
51,20190818,태국,서귀포시,안덕면,246
52,20190818,싱가포르,서귀포시,안덕면,48
53,20190818,말레이시아,서귀포시,안덕면,236
54,20190818,일본,서귀포시,안덕면,2209
55,20190818,인도네시아,서귀포시,안덕면,20
56,20190818,홍콩,서귀포시,안덕면,240
57,20190818,기타,서귀포시,안덕면,2649
58,20190818,중국,서귀포시,안덕면,16605
59,20190818,미국,서귀포시,성산읍,142
60,20190818,태국,서귀포시,성산읍,171
61,20190818,싱가포르,서귀포시,성산읍,38
62,20190818,말레이시아,서귀포시,성산읍,514
63,20190818,일본,서귀포시,성산읍,822
64,20190818,인도네시아,서귀포시,성산읍,97
65,20190818,홍콩,서귀포시,성산읍,157
66,20190818,기타,서귀포시,성산읍,917
67,20190818,중국,서귀포시,성산읍,8262
68,20190818,베트남,서귀포시,남원읍,75
69,20190818,미국,서귀포시,남원읍,116
70,20190818,태국,서귀포시,남원읍,426
71,20190818,싱가포르,서귀포시,남원읍,150
72,20190818,미국,서귀포시,안덕면,801
73,20190818,베트남,서귀포시,안덕면,67
74,20190818,중국,서귀포시,표선면,2318
75,20190818,기타,서귀포시,표선면,352
76,20190818,기타,서귀포시,중앙동,100
77,20190818,중국,서귀포시,중앙동,396
78,20190818,베트남,서귀포시,정방동,4
79,20190818,미국,서귀포시,정방동,26
80,20190818,싱가포르,서귀포시,정방동,102
81,20190818,말레이시아,서귀포시,정방동,24
82,20190818,일본,서귀포시,정방동,473
83,20190818,인도네시아,서귀포시,정방동,22
84,20190818,홍콩,서귀포시,정방동,55
85,20190818,기타,서귀포시,정방동,414
86,20190818,미국,서귀포시,대륜동,225
87,20190818,중국,서귀포시,정방동,1813
88,20190818,홍콩,서귀포시,송산동,2
89,20190818,기타,서귀포시,송산동,89
90,20190818,중국,서귀포시,송산동,596
91,20190818,미국,서귀포시,표선면,66
92,20190818,태국,서귀포시,표선면,191
93,20190818,싱가포르,서귀포시,표선면,5
94,20190818,말레이시아,서귀포시,표선면,134
95,20190818,일본,서귀포시,표선면,113
96,20190818,인도네시아,서귀포시,표선면,7
97,20190818,홍콩,서귀포시,표선면,51
98,20190818,미국,서귀포시,송산동,57
99,20190818,중국,서귀포시,대천동,563
100,20190818,기타,서귀포시,대천동,732
101,20190818,베트남,서귀포시,예래동,47
102,20190818,미국,서귀포시,예래동,564
103,20190818,태국,서귀포시,예래동,38
104,20190818,싱가포르,서귀포시,예래동,5
105,20190818,일본,서귀포시,예래동,2311
106,20190818,인도네시아,서귀포시,예래동,15
107,20190818,홍콩,서귀포시,예래동,41
108,20190818,기타,서귀포시,예래동,1640
109,20190818,중국,서귀포시,예래동,8794
110,20190818,베트남,서귀포시,중문동,107
111,20190818,미국,서귀포시,중문동,133
112,20190818,말레이시아,서귀포시,예래동,397
113,20190818,싱가포르,서귀포시,중문동,33
114,20190818,태국,서귀포시,중문동,121
115,20190818,홍콩,서귀포시,대천동,20
116,20190818,일본,서귀포시,대천동,59
117,20190818,싱가포르,서귀포시,대천동,20
118,20190818,미국,서귀포시,대천동,287
119,20190818,말레이시아,서귀포시,대천동,41
120,20190818,기타,서귀포시,중문동,1086
121,20190818,홍콩,서귀포시,중문동,31
122,20190818,일본,서귀포시,중문동,21
123,20190818,말레이시아,서귀포시,중문동,219
124,20190818,중국,서귀포시,중문동,8368
125,20190819,인도네시아,제주시,우도면,45
126,20190819,태국,제주시,추자면,96
127,20190819,홍콩,제주시,우도면,33
128,20190819,기타,제주시,우도면,374
129,20190819,중국,제주시,우도면,5051
130,20190819,베트남,제주시,추자면,4
131,20190819,싱가포르,제주시,추자면,3
132,20190819,태국,제주시,한경면,51
133,20190819,홍콩,제주시,추자면,8
134,20190819,기타,제주시,추자면,369
135,20190819,중국,제주시,추자면,4565
136,20190819,베트남,제주시,한경면,24
137,20190819,말레이시아,제주시,한경면,41
138,20190819,일본,제주시,한경면,27
139,20190819,일본,제주시,우도면,269
140,20190819,인도네시아,제주시,추자면,52
141,20190819,태국,제주시,우도면,66
142,20190819,홍콩,제주시,일도2동,7
143,20190819,중국,제주시,일도1동,829
144,20190819,중국,제주시,이도1동,1532
145,20190819,미국,제주시,일도2동,104
146,20190819,싱가포르,제주시,일도2동,64
147,20190819,말레이시아,제주시,일도2동,82
148,20190819,일본,제주시,일도2동,124
149,20190819,홍콩,제주시,한경면,7
150,20190819,기타,제주시,일도2동,124
151,20190819,중국,제주시,일도2동,1729
152,20190819,미국,제주시,일도1동,2
153,20190819,태국,제주시,일도1동,23
154,20190819,말레이시아,제주시,일도1동,14
155,20190819,일본,제주시,일도1동,193
156,20190819,인도네시아,제주시,일도1동,7
157,20190819,홍콩,제주시,일도1동,21
158,20190819,기타,제주시,일도1동,160
159,20190819,미국,제주시,우도면,19
160,20190819,기타,제주시,한경면,86
161,20190819,싱가포르,제주시,구좌읍,28
162,20190819,베트남,제주시,조천읍,32
163,20190819,싱가포르,제주시,애월읍,82
164,20190819,말레이시아,제주시,애월읍,425
165,20190819,일본,제주시,애월읍,629
166,20190819,인도네시아,제주시,애월읍,124
167,20190819,홍콩,제주시,애월읍,122
168,20190819,기타,제주시,애월읍,2798
169,20190819,중국,제주시,애월읍,18187
170,20190819,베트남,제주시,한림읍,103
171,20190819,미국,제주시,한림읍,24
172,20190819,태국,제주시,한림읍,39
173,20190819,말레이시아,제주시,한림읍,188
174,20190819,일본,제주시,한림읍,161
175,20190819,홍콩,제주시,한림읍,12
176,20190819,기타,제주시,한림읍,1051
177,20190819,중국,제주시,한림읍,3903
178,20190819,태국,제주시,애월읍,460
179,20190819,미국,제주시,애월읍,299
180,20190819,베트남,제주시,애월읍,617
181,20190819,중국,제주시,구좌읍,3238
182,20190819,미국,제주시,조천읍,159
183,20190819,태국,제주시,조천읍,101
184,20190819,말레이시아,제주시,조천읍,137
185,20190819,일본,제주시,조천읍,812
186,20190819,인도네시아,제주시,조천읍,5
187,20190819,홍콩,제주시,조천읍,38
188,20190819,기타,제주시,조천읍,1625
189,20190819,중국,제주시,한경면,723
190,20190819,중국,제주시,조천읍,8366
191,20190819,태국,제주시,구좌읍,18
