,날짜,국가,시군구,읍면동,거주인구,근무인구,방문자수
0,20190311,베트남,서귀포시,효돈동,0,0,206
1,20190311,인도네시아,서귀포시,예래동,0,0,340
2,20190311,베트남,서귀포시,대천동,103,0,236
3,20190311,미국,서귀포시,대천동,211,49,124
4,20190311,러시아,서귀포시,대천동,0,0,8
5,20190311,네팔,서귀포시,대천동,405,81,101
6,20190311,말레이시아,서귀포시,대천동,111,0,0
7,20190311,캄보디아,서귀포시,대천동,186,0,70
8,20190311,카자흐스탄,서귀포시,대천동,7,0,0
9,20190311,기타,서귀포시,대천동,86,0,25
10,20190311,캐나다,서귀포시,예래동,66,0,315
11,20190311,필리핀,서귀포시,서홍동,0,0,101
12,20190311,중국,서귀포시,대천동,1258,20,1077
13,20190311,스리랑카,서귀포시,영천동,139,0,73
14,20190311,미얀마,서귀포시,영천동,219,165,260
15,20190311,캄보디아,서귀포시,영천동,116,0,16
16,20190311,인도네시아,서귀포시,동홍동,540,0,838
17,20190311,일본,서귀포시,동홍동,180,21,32
18,20190311,독일,서귀포시,서홍동,0,0,6
19,20190311,태국,서귀포시,영천동,0,48,0
20,20190312,네팔,제주시,용담2동,0,75,238
21,20190312,우즈베키스탄,제주시,삼도2동,0,0,57
22,20190312,카자흐스탄,제주시,용담2동,0,0,7
23,20190312,프랑스,제주시,용담2동,0,0,18
24,20190312,기타,제주시,용담2동,66,12,131
25,20190312,중국,제주시,용담2동,1708,516,4139
26,20190312,베트남,제주시,삼도2동,0,66,433
27,20190312,미국,제주시,삼도2동,0,0,75
28,20190312,중국,제주시,삼도2동,1755,52,993
29,20190312,네팔,제주시,삼도2동,40,0,14
30,20190312,기타,제주시,삼도2동,0,2,82
31,20190312,방글라데시,제주시,삼도2동,0,0,5
32,20190312,필리핀,제주시,이도2동,131,0,60
33,20190312,몽골,제주시,이도2동,160,0,66
34,20190312,영국,제주시,이도2동,85,0,22
35,20190312,파키스탄,제주시,용담2동,0,0,19
36,20190312,러시아,제주시,삼도2동,261,0,63
37,20190312,러시아,제주시,용담2동,182,0,55
